Customer ID,Customer Segmentation Data,Customer Behavior
CID0001,Segment C,6
CID0002,Segment B,1
CID0003,Segment A,1
CID0004,Segment B,8
CID0005,Segment A,8
CID0006,Segment C,9
CID0007,Segment A,4
CID0008,Segment A,9
CID0009,Segment A,6
CID0010,Segment C,9
CID0011,Segment A,4
CID0012,Segment A,3
CID0013,Segment C,1
CID0014,Segment A,5
CID0015,Segment A,4
CID0016,Segment B,3
CID0017,Segment C,9
CID0018,Segment A,6
CID0019,Segment B,4
CID0020,Segment C,2
CID0021,Segment C,8
CID0022,Segment C,5
CID0023,Segment C,2
CID0024,Segment C,8
CID0025,Segment B,2
CID0026,Segment C,8
CID0027,Segment C,4
CID0028,Segment B,5
CID0029,Segment A,3
CID0030,Segment B,6
CID0031,Segment A,5
CID0032,Segment B,1
CID0033,Segment C,6
CID0034,Segment C,4
CID0035,Segment A,2
CID0036,Segment A,3
CID0037,Segment A,2
CID0038,Segment C,4
CID0039,Segment C,4
CID0040,Segment B,3
CID0041,Segment C,9
CID0042,Segment A,9
CID0043,Segment A,9
CID0044,Segment B,3
CID0045,Segment B,3
CID0046,Segment B,4
CID0047,Segment C,4
CID0048,Segment C,4
CID0049,Segment C,6
CID0050,Segment C,5
CID0051,Segment C,2
CID0052,Segment C,2
CID0053,Segment A,8
CID0054,Segment C,5
CID0055,Segment C,6
CID0056,Segment C,5
CID0057,Segment A,7
CID0058,Segment B,2
CID0059,Segment B,9
CID0060,Segment C,6
CID0061,Segment A,8
CID0062,Segment C,9
CID0063,Segment A,8
CID0064,Segment B,8
CID0065,Segment C,4
CID0066,Segment B,3
CID0067,Segment A,7
CID0068,Segment C,9
CID0069,Segment C,4
CID0070,Segment C,6
CID0071,Segment A,1
CID0072,Segment C,3
CID0073,Segment B,1
CID0074,Segment B,8
CID0075,Segment C,3
CID0076,Segment B,1
CID0077,Segment C,6
CID0078,Segment B,1
CID0079,Segment C,3
CID0080,Segment A,9
CID0081,Segment C,8
CID0082,Segment C,4
CID0083,Segment A,7
CID0084,Segment B,6
CID0085,Segment B,4
CID0086,Segment C,1
CID0087,Segment B,4
CID0088,Segment B,3
CID0089,Segment A,3
CID0090,Segment B,4
CID0091,Segment C,2
CID0092,Segment A,5
CID0093,Segment C,3
CID0094,Segment A,1
CID0095,Segment B,1
CID0096,Segment A,7
CID0097,Segment C,8
CID0098,Segment B,2
CID0099,Segment A,2
CID0100,Segment A,5
CID0101,Segment B,8
CID0102,Segment C,8
CID0103,Segment C,3
CID0104,Segment B,1
CID0105,Segment B,9
CID0106,Segment A,9
CID0107,Segment B,5
CID0108,Segment B,5
CID0109,Segment A,9
CID0110,Segment A,9
CID0111,Segment B,6
CID0112,Segment A,2
CID0113,Segment A,3
CID0114,Segment C,2
CID0115,Segment B,3
CID0116,Segment A,4
CID0117,Segment C,2
CID0118,Segment C,8
CID0119,Segment A,7
CID0120,Segment B,2
CID0121,Segment C,9
CID0122,Segment B,8
CID0123,Segment A,3
CID0124,Segment B,4
CID0125,Segment A,5
CID0126,Segment A,8
CID0127,Segment A,4
CID0128,Segment B,4
CID0129,Segment C,9
CID0130,Segment A,9
CID0131,Segment C,6
CID0132,Segment A,5
CID0133,Segment A,7
CID0134,Segment C,8
CID0135,Segment C,6
CID0136,Segment B,8
CID0137,Segment C,4
CID0138,Segment B,9
CID0139,Segment B,2
CID0140,Segment B,6
CID0141,Segment A,5
CID0142,Segment A,2
CID0143,Segment C,3
CID0144,Segment B,5
CID0145,Segment A,2
CID0146,Segment B,1
CID0147,Segment C,3
CID0148,Segment A,3
CID0149,Segment C,2
CID0150,Segment C,5
CID0151,Segment B,9
CID0152,Segment B,1
CID0153,Segment B,9
CID0154,Segment B,3
CID0155,Segment B,3
CID0156,Segment A,9
CID0157,Segment A,3
CID0158,Segment C,9
CID0159,Segment B,8
CID0160,Segment B,1
CID0161,Segment A,2
CID0162,Segment A,9
CID0163,Segment C,4
CID0164,Segment B,7
CID0165,Segment C,5
CID0166,Segment B,4
CID0167,Segment C,2
CID0168,Segment B,5
CID0169,Segment A,5
CID0170,Segment A,2
CID0171,Segment A,4
CID0172,Segment C,2
CID0173,Segment B,5
CID0174,Segment B,8
CID0175,Segment A,9
CID0176,Segment C,5
CID0177,Segment C,1
CID0178,Segment A,5
CID0179,Segment B,1
CID0180,Segment C,1
CID0181,Segment A,3
CID0182,Segment B,1
CID0183,Segment B,4
CID0184,Segment C,8
CID0185,Segment C,4
CID0186,Segment C,2
CID0187,Segment A,5
CID0188,Segment C,2
CID0189,Segment A,4
CID0190,Segment A,8
CID0191,Segment A,5
CID0192,Segment C,5
CID0193,Segment C,6
CID0194,Segment B,8
CID0195,Segment C,4
CID0196,Segment C,8
CID0197,Segment A,2
CID0198,Segment A,3
CID0199,Segment A,5
CID0200,Segment B,2
CID0201,Segment A,5
CID0202,Segment A,4
CID0203,Segment A,3
CID0204,Segment C,4
CID0205,Segment C,6
CID0206,Segment C,7
CID0207,Segment A,3
CID0208,Segment B,5
CID0209,Segment A,8
CID0210,Segment A,2
CID0211,Segment C,3
CID0212,Segment A,7
CID0213,Segment A,4
CID0214,Segment B,4
CID0215,Segment C,3
CID0216,Segment A,8
CID0217,Segment A,5
CID0218,Segment B,8
CID0219,Segment B,3
CID0220,Segment B,9
CID0221,Segment C,4
CID0222,Segment B,9
CID0223,Segment C,6
CID0224,Segment A,1
CID0225,Segment A,8
CID0226,Segment C,9
CID0227,Segment C,2
CID0228,Segment B,9
CID0229,Segment C,8
CID0230,Segment C,5
CID0231,Segment B,3
CID0232,Segment B,8
CID0233,Segment A,3
CID0234,Segment B,6
CID0235,Segment A,3
CID0236,Segment B,4
CID0237,Segment C,9
CID0238,Segment A,2
CID0239,Segment B,2
CID0240,Segment A,6
CID0241,Segment A,1
CID0242,Segment A,6
CID0243,Segment C,8
CID0244,Segment B,5
CID0245,Segment A,9
CID0246,Segment C,9
CID0247,Segment B,3
CID0248,Segment C,7
CID0249,Segment B,7
CID0250,Segment A,5
CID0251,Segment A,8
CID0252,Segment C,6
CID0253,Segment B,7
CID0254,Segment C,3
CID0255,Segment B,1
CID0256,Segment A,7
CID0257,Segment B,7
CID0258,Segment B,3
CID0259,Segment B,4
CID0260,Segment B,3
CID0261,Segment B,8
CID0262,Segment B,7
CID0263,Segment A,1
CID0264,Segment A,4
CID0265,Segment C,6
CID0266,Segment B,1
CID0267,Segment C,9
CID0268,Segment A,3
CID0269,Segment C,9
CID0270,Segment B,1
CID0271,Segment B,6
CID0272,Segment B,1
CID0273,Segment B,2
CID0274,Segment C,4
CID0275,Segment C,3
CID0276,Segment A,3
CID0277,Segment B,4
CID0278,Segment A,8
CID0279,Segment B,3
CID0280,Segment B,6
CID0281,Segment C,4
CID0282,Segment B,5
CID0283,Segment A,1
CID0284,Segment B,1
CID0285,Segment C,2
CID0286,Segment C,7
CID0287,Segment C,1
CID0288,Segment B,8
CID0289,Segment C,9
CID0290,Segment B,2
CID0291,Segment B,6
CID0292,Segment B,3
CID0293,Segment C,3
CID0294,Segment B,7
CID0295,Segment B,1
CID0296,Segment A,3
CID0297,Segment A,1
CID0298,Segment A,5
CID0299,Segment B,3
CID0300,Segment B,5
CID0301,Segment C,7
CID0302,Segment A,4
CID0303,Segment C,9
CID0304,Segment C,5
CID0305,Segment A,8
CID0306,Segment B,6
CID0307,Segment C,8
CID0308,Segment A,4
CID0309,Segment A,7
CID0310,Segment A,3
CID0311,Segment A,2
CID0312,Segment A,5
CID0313,Segment B,5
CID0314,Segment A,2
CID0315,Segment A,1
CID0316,Segment B,6
CID0317,Segment A,3
CID0318,Segment C,2
CID0319,Segment A,4
CID0320,Segment C,1
CID0321,Segment B,6
CID0322,Segment A,6
CID0323,Segment B,7
CID0324,Segment A,9
CID0325,Segment A,1
CID0326,Segment C,7
CID0327,Segment C,2
CID0328,Segment A,4
CID0329,Segment A,9
CID0330,Segment A,6
CID0331,Segment C,5
CID0332,Segment A,9
CID0333,Segment A,5
CID0334,Segment A,5
CID0335,Segment C,2
CID0336,Segment A,1
CID0337,Segment A,1
CID0338,Segment A,1
CID0339,Segment B,5
CID0340,Segment B,4
CID0341,Segment B,7
CID0342,Segment C,1
CID0343,Segment B,7
CID0344,Segment B,1
CID0345,Segment A,9
CID0346,Segment B,9
CID0347,Segment A,7
CID0348,Segment C,3
CID0349,Segment B,1
CID0350,Segment A,3
CID0351,Segment C,3
CID0352,Segment A,7
CID0353,Segment B,7
CID0354,Segment B,9
CID0355,Segment B,8
CID0356,Segment C,3
CID0357,Segment C,7
CID0358,Segment B,5
CID0359,Segment B,1
CID0360,Segment A,4
CID0361,Segment B,2
CID0362,Segment C,6
CID0363,Segment C,1
CID0364,Segment A,8
CID0365,Segment B,8
CID0366,Segment C,6
CID0367,Segment A,1
CID0368,Segment A,5
CID0369,Segment A,6
CID0370,Segment A,8
CID0371,Segment C,6
CID0372,Segment B,5
CID0373,Segment C,7
CID0374,Segment B,9
CID0375,Segment B,3
CID0376,Segment C,6
CID0377,Segment B,9
CID0378,Segment C,3
CID0379,Segment B,4
CID0380,Segment B,4
CID0381,Segment C,2
CID0382,Segment C,5
CID0383,Segment A,5
CID0384,Segment C,8
CID0385,Segment B,3
CID0386,Segment C,7
CID0387,Segment A,4
CID0388,Segment C,4
CID0389,Segment B,2
CID0390,Segment A,3
CID0391,Segment C,5
CID0392,Segment A,3
CID0393,Segment A,6
CID0394,Segment B,3
CID0395,Segment A,3
CID0396,Segment B,4
CID0397,Segment B,3
CID0398,Segment C,5
CID0399,Segment C,5
CID0400,Segment A,2
CID0401,Segment A,6
CID0402,Segment C,3
CID0403,Segment A,6
CID0404,Segment A,9
CID0405,Segment B,1
CID0406,Segment C,4
CID0407,Segment B,6
CID0408,Segment C,3
CID0409,Segment A,1
CID0410,Segment A,6
CID0411,Segment C,3
CID0412,Segment C,9
CID0413,Segment C,5
CID0414,Segment B,9
CID0415,Segment A,7
CID0416,Segment A,9
CID0417,Segment B,6
CID0418,Segment A,2
CID0419,Segment B,5
CID0420,Segment C,5
CID0421,Segment C,9
CID0422,Segment A,7
CID0423,Segment A,1
CID0424,Segment C,5
CID0425,Segment B,5
CID0426,Segment A,8
CID0427,Segment C,5
CID0428,Segment C,4
CID0429,Segment C,6
CID0430,Segment C,2
CID0431,Segment C,4
CID0432,Segment B,9
CID0433,Segment B,4
CID0434,Segment B,2
CID0435,Segment A,8
CID0436,Segment B,6
CID0437,Segment A,4
CID0438,Segment B,5
CID0439,Segment A,2
CID0440,Segment A,3
CID0441,Segment A,4
CID0442,Segment C,9
CID0443,Segment A,5
CID0444,Segment A,3
CID0445,Segment B,9
CID0446,Segment C,7
CID0447,Segment C,8
CID0448,Segment B,6
CID0449,Segment A,2
CID0450,Segment C,6
CID0451,Segment C,6
CID0452,Segment B,6
CID0453,Segment B,2
CID0454,Segment C,4
CID0455,Segment B,1
CID0456,Segment B,6
CID0457,Segment C,3
CID0458,Segment A,8
CID0459,Segment A,9
CID0460,Segment A,3
CID0461,Segment A,8
CID0462,Segment A,6
CID0463,Segment A,9
CID0464,Segment B,4
CID0465,Segment B,9
CID0466,Segment C,2
CID0467,Segment B,6
CID0468,Segment B,2
CID0469,Segment A,7
CID0470,Segment A,5
CID0471,Segment B,3
CID0472,Segment A,7
CID0473,Segment B,3
CID0474,Segment B,9
CID0475,Segment C,7
CID0476,Segment C,1
CID0477,Segment B,8
CID0478,Segment C,8
CID0479,Segment B,1
CID0480,Segment B,7
CID0481,Segment C,1
CID0482,Segment C,2
CID0483,Segment C,1
CID0484,Segment C,5
CID0485,Segment C,5
CID0486,Segment B,4
CID0487,Segment C,2
CID0488,Segment B,4
CID0489,Segment B,7
CID0490,Segment C,4
CID0491,Segment B,8
CID0492,Segment C,6
CID0493,Segment C,7
CID0494,Segment B,1
CID0495,Segment A,2
CID0496,Segment A,4
CID0497,Segment C,4
CID0498,Segment C,6
CID0499,Segment A,4
CID0500,Segment B,5
